label,required,canonical,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
A27D MONTH FORECLOSURE ON MTGE # 2,0,var_73,,,,,,,ER47383,ER53083,ER60084,ER66086,ER72086,ER78087,ER82088
A27E YEAR FORECLOSURE ON MTGE # 1,0,var_74,,,,,,,ER47363,ER53063,ER60064,ER66066,ER72066,ER78067,ER82068
A27E YEAR FORECLOSURE ON MTGE # 2,0,var_75,,,,,,,ER47384,ER53084,ER60085,ER66087,ER72087,ER78088,ER82089
A27F WTR RESTRUCTURED MTGE # 1,0,var_76,,,,,,,ER47364,ER53064,ER60065,ER66067,ER72067,ER78068,ER82069
A27F WTR RESTRUCTURED MTGE # 2,0,var_77,,,,,,,ER47385,ER53085,ER60086,ER66088,ER72088,ER78089,ER82090
A27F1 WTR BEHIND ON MTGE # 1,0,var_78,,,,,,ER42052,,,,,,,
A27F1 WTR BEHIND ON MTGE # 2,0,var_79,,,,,,ER42071,,,,,,,
A27F2 MONTHS BEHIND ON MTGE # 1,0,var_80,,,,,,ER42053,,,,,,,
A27F2 MONTHS BEHIND ON MTGE # 2,0,var_81,,,,,,ER42072,,,,,,,
A27F3 WTR FORECLOSURE ON MTGE # 1,0,var_82,,,,,,ER42054,,,,,,,
A27F3 WTR FORECLOSURE ON MTGE # 2,0,var_83,,,,,,ER42073,,,,,,,
A27F4 MONTH FORECLOSURE ON MTGE # 1,0,var_84,,,,,,ER42055,,,,,,,
A27F4 MONTH FORECLOSURE ON MTGE # 2,0,var_85,,,,,,ER42074,,,,,,,
A27F4 YEAR FORECLOSURE ON MTGE # 1,0,var_86,,,,,,ER42056,,,,,,,
A27F4 YEAR FORECLOSURE ON MTGE # 2,0,var_87,,,,,,ER42075,,,,,,,
A27F5 WTR RESTRUCTURED MTGE # 1,0,var_88,,,,,,ER42057,,,,,,,
A27F5 WTR RESTRUCTURED MTGE # 2,0,var_89,,,,,,ER42076,,,,,,,
A27F6 LIKELY TO FALL BEHIND ON MTGE # 2,0,var_90,,,,,,ER42077,,,,,,,
A27F6 LIKELY TO FALL BEHIND ON MTGE #1,0,var_91,,,,,,ER42058,,,,,,,
A27G LIKELY TO FALL BEHIND ON MTGE # 2,0,var_92,,,,,,,ER47386,ER53086,ER60087,ER66089,ER72089,ER78090,ER82091
A27G LIKELY TO FALL BEHIND ON MTGE #1,0,var_93,,,,,,,ER47365,ER53065,ER60066,ER66068,ER72068,ER78069,ER82070
A28 2ND MORTGAGE,0,var_94,,,,,,ER42059,ER47366,ER53066,ER60067,ER66069,ER72069,ER78070,ER82071
A29 MTG INCL PROP TAXES,0,var_95,,,,,,ER42078,,,,,,,
A3 LIFE SATISFACTION,0,var_96,,,,,,ER42024,ER47324,ER53024,ER60025,ER66025,ER72025,ER78026,ER82027
A30 MTG INCL INS PREM,0,var_97,,,,,,ER42079,,,,,,,
A31 DOLLARS PER WHAT,0,var_98,,,,,,ER42081,ER47388,ER53088,ER60089,ER66091,ER72091,ER78092,ER82093
A31 DOLLARS RENT,0,var_99,,,,,,ER42080,ER47387,ER53087,ER60088,ER66090,ER72090,ER78091,ER82092
A31A FURNISHED APT/HOUSE,0,var_100,,,,,,ER42083,,,,,,,
A31A WTR WATER/SEWER INCLUDED IN RENT,0,var_101,,,,,,,ER47390,ER53090,ER60091,ER66093,ER72093,ER78094,ER82095
A31B FURNISHED APT/HOUSE,0,var_102,,,,,,,ER47391,ER53091,ER60092,ER66094,ER72094,ER78095,ER82096
A31B RENT INCL HEAT,0,var_103,,,,,,ER42084,,,,,,,
A31C RENT INCL HEAT,0,var_104,,,,,,,ER47392,ER53092,ER60093,ER66095,ER72095,ER78096,ER82097
A32 IN PUBLIC OWND PROJ?,0,var_105,,,,,,ER42085,ER47393,ER53093,ER60094,ER66096,ER72096,ER78097,ER82098
A33 GOVT PAY PART RENT?,0,var_106,,,,,,ER42086,ER47394,ER53094,ER60095,ER66097,ER72097,ER78098,ER82099
A35 DOLLARS PER WHAT,0,var_107,,,,,,ER42088,ER47396,ER53096,ER60097,ER66099,ER72099,ER78100,ER82101
A35 DOLLARS RENT IF RENT,0,var_108,,,,,,ER42087,ER47395,ER53095,ER60096,ER66098,ER72098,ER78099,ER82100
A36 IN PUBLIC OWND PROJ?,0,var_109,,,,,,ER42090,ER47398,ER53098,ER60099,ER66101,ER72101,ER78102,ER82103
A37 GOVT PAY ALL RENT?,0,var_110,,,,,,ER42091,ER47399,ER53099,ER60100,ER66102,ER72102,ER78103,ER82104
A37A WTR FORCLOSURE BEG OTR HOME,0,var_111,,,,,,,,,,ER66103,,,
A37A WTR FORCLOSURE BEG OTR HOME # 1,0,var_112,,,,,,,ER47400,ER53100,ER60101,,ER72103,ER78104,ER82105
A37B MONTH FORCLOSURE OTR HOME,0,var_113,,,,,,,,,,ER66104,,,
A37B MONTH FORCLOSURE OTR HOME # 1,0,var_114,,,,,,,ER47401,ER53101,ER60102,,ER72104,ER78105,ER82106
A37B MONTH FORCLOSURE OTR HOME # 2,0,var_115,,,,,,,ER47408,ER53108,,,,,
A37C YEAR FORCLOSURE OTR HOME,0,var_116,,,,,,,,,,ER66105,,,
A37C YEAR FORCLOSURE OTR HOME # 1,0,var_117,,,,,,,ER47402,ER53102,ER60103,,ER72105,ER78106,ER82107
A37C YEAR FORCLOSURE OTR HOME # 2,0,var_118,,,,,,,ER47409,ER53109,,,,,
A37D WTR FORECLOSURED OTR HOME,0,var_119,,,,,,,,,,ER66106,,,
A37D WTR FORECLOSURED OTR HOME # 1,0,var_120,,,,,,,ER47403,ER53103,ER60104,,ER72106,ER78107,ER82108
A37D WTR FORECLOSURED OTR HOME # 2,0,var_121,,,,,,,ER47410,ER53110,,,,,
A37E WTR LOST OTR HOME FORECLOSURE,0,var_122,,,,,,,,,,ER66107,,,
A37E WTR LOST OTR HOME FORECLOSURE # 1,0,var_123,,,,,,,ER47404,ER53104,ER60105,,ER72107,ER78108,ER82109
A37E WTR LOST OTR HOME FORECLOSURE # 2,0,var_124,,,,,,,ER47411,ER53111,,,,,
A37F WTR MAIN RESIDENCE OTR HOME,0,var_125,,,,,,,,,,ER66108,,,
A37F WTR MAIN RESIDENCE OTR HOME # 1,0,var_126,,,,,,,ER47405,ER53105,ER60106,,ER72108,ER78109,ER82110
A37F WTR MAIN RESIDENCE OTR HOME # 2,0,var_127,,,,,,,ER47412,ER53112,,,,,
A37F1 WTR FORCLOSURE BEG OTR HOME # 1,0,var_128,,,,,,ER42092,,,,,,,
A37F1 WTR FORCLOSURE BEG OTR HOME # 2,0,var_129,,,,,,ER42099,,,,,,,
A37F2 MONTH FORCLOSURE OTR HOME # 1,0,var_130,,,,,,ER42093,,,,,,,
A37F2 MONTH FORCLOSURE OTR HOME # 2,0,var_131,,,,,,ER42100,,,,,,,
A37F2 YEAR FORCLOSURE OTR HOME # 1,0,var_132,,,,,,ER42094,,,,,,,
A37F2 YEAR FORCLOSURE OTR HOME # 2,0,var_133,,,,,,ER42101,,,,,,,
A37F3 WTR FORECLOSURED OTR HOME # 1,0,var_134,,,,,,ER42095,,,,,,,
A37F3 WTR FORECLOSURED OTR HOME # 2,0,var_135,,,,,,ER42102,,,,,,,
A37F4 WTR LOST OTR HOME FORECLOSURE # 1,0,var_136,,,,,,ER42096,,,,,,,
A37F4 WTR LOST OTR HOME FORECLOSURE # 2,0,var_137,,,,,,ER42103,,,,,,,
A37F5 WTR MAIN RESIDENCE OTR HOME # 1,0,var_138,,,,,,ER42097,,,,,,,
A37F5 WTR MAIN RESIDENCE OTR HOME # 2,0,var_139,,,,,,ER42104,,,,,,,
A37F6 AMT STILL OWED OTR HOME # 1,0,var_140,,,,,,ER42098,,,,,,,
A37F6 AMT STILL OWED OTR HOME # 2,0,var_141,,,,,,ER42105,,,,,,,
A37G AMT STILL OWED OTR HOME,0,var_142,,,,,,,,,,ER66109,,,
A37G AMT STILL OWED OTR HOME # 1,0,var_143,,,,,,,ER47406,ER53106,ER60107,,ER72109,ER78110,ER82111
A37G AMT STILL OWED OTR HOME # 2,0,var_144,,,,,,,ER47413,ER53113,,,,,
A37H WTR FORCLOSURE BEG OTR HOME # 2,0,var_145,,,,,,,ER47407,ER53107,ER60108,,,,
A38 HAVE AIR CONDITNG,0,var_146,,,,,,ER42106,,,,,,,
A39 A/C ALL OR SOME ROOM,0,var_147,,,,,,ER42107,,,,,,,
A4 TYPE DU,0,var_148,,,,,,ER42025,ER47325,ER53025,ER60026,ER66026,ER72026,ER78027,ER82028
A40 TYPE HEATING 1ST MENTION,0,var_149,,,,,,ER42108,ER47429,ER53129,ER60124,ER66125,ER72125,ER78127,ER82128
A40 TYPE HEATING 2ND MENTION,0,var_150,,,,,,ER42109,ER47430,ER53130,ER60125,ER66126,ER72126,ER78128,ER82129
A40 TYPE HEATING 3RD MENTION,0,var_151,,,,,,ER42110,ER47431,ER53131,ER60126,ER66127,ER72127,ER78129,ER82130
A41 HEATING FUEL EXPENSE,0,var_152,,,,,,ER42112,,,,,,,
A41 HEATING FUEL EXPENSE PER,0,var_153,,,,,,ER42113,,,,,,,
A42 COMBINED GAS/ELECT EXPENSE,0,var_154,,,,,,ER42116,,,,,,,
A42 COMBINED GAS/ELECT EXPENSE PER,0,var_155,,,,,,ER42117,,,,,,,
A42 ELECTRICITY EXPENSE,0,var_156,,,,,,ER42114,,,,,,,
A42 ELECTRICITY PER,0,var_157,,,,,,ER42115,,,,,,,
A42 WTR GAS/ELEC COSTS ON ONE BILL,0,var_158,,,,,,ER42111,ER47414,ER53114,ER60109,ER66110,ER72110,,
A42A FUEL EXPENSE,0,var_159,,,,,,,ER47415,ER53115,ER60110,ER66111,ER72111,ER78113,ER82114
A42A FUEL EXPENSE PER,0,var_160,,,,,,,ER47416,ER53116,ER60111,ER66112,ER72112,ER78114,ER82115
A42B ELECTRICITY EXPENSE,0,var_161,,,,,,,ER47417,ER53117,ER60112,ER66113,ER72113,ER78115,ER82116
A42B ELECTRICITY PER,0,var_162,,,,,,,ER47418,ER53118,ER60113,ER66114,ER72114,ER78116,ER82117
A42C COMBINED GAS/ELECT EXPENSE,0,var_163,,,,,,,ER47419,ER53119,ER60114,ER66115,ER72115,ER78117,ER82118
A42C COMBINED GAS/ELECT EXPENSE PER,0,var_164,,,,,,,ER47420,ER53120,ER60115,ER66116,ER72116,ER78118,ER82119
A42_1 TYPE OF UTILITIES,0,var_165,,,,,,,,,,,,ER78111,ER82112
A42_2 CAN SEPARATE UTILITIES,0,var_166,,,,,,,,,,,,ER78112,ER82113
A43 WATER/SEWER EXPENSE,0,var_167,,,,,,ER42118,ER47421,ER53121,ER60116,ER66117,ER72117,ER78119,ER82120
A43 WATER/SEWER EXPENSE PER,0,var_168,,,,,,ER42119,ER47422,ER53122,ER60117,ER66118,ER72118,ER78120,ER82121
A44 TELEPHONE EXPENSE,0,var_169,,,,,,ER42120,ER47423,ER53123,ER60118,ER66119,ER72119,ER78121,ER82122
A44 TELEPHONE EXPENSE PER,0,var_170,,,,,,ER42121,ER47424,ER53124,ER60119,ER66120,ER72120,ER78122,ER82123
A45 WTR OTR UTILITY EXP,0,var_171,,,,,,ER42122,ER47425,ER53125,ER60120,ER66121,ER72121,ER78123,ER82124
A45A GARBAGE EXPENSE,0,var_172,,,,,,ER42123,ER47426,ER53126,ER60121,ER66122,ER72122,ER78124,ER82125
A45B OTR UTILITIES PER,0,var_173,,,,,,ER42125,ER47428,ER53128,ER60123,ER66124,ER72124,ER78126,ER82127
A45B TOTAL OTR UTILITIES,0,var_174,,,,,,ER42124,ER47427,ER53127,ER60122,ER66123,ER72123,ER78125,ER82126
A46 RECD GOVT HTG SUBSDY,0,var_175,,,,,,ER42126,ER47432,ER53132,ER60127,ER66128,ER72128,ER78130,ER82131
A46A AMT GOVT HTG SUBSDY,0,var_176,,,,,,ER42127,ER47433,ER53133,ER60128,ER66129,ER72129,ER78131,ER82132
A46A AMT GOVT HTG SUBSDY PER,0,var_177,,,,,,,,,ER60129,ER66130,ER72130,ER78132,ER82133
A46A PERCENT GOVT HTG SUBSDY,0,var_178,,,,,,,,,ER60130,ER66131,ER72131,ER78133,ER82134
A47A WTR COMPUTER IN HOME-HD,0,var_179,,,,,,ER42128,ER47434,ER53134,,,,,
A47A WTR COMPUTER IN HOME-WF,0,var_180,,,,,,ER42130,ER47437,ER53137,,,,,
A47B WTR USED INTERNET-HD,0,var_181,,,,,,ER42129,ER47435,ER53135,,,,,
A47B WTR USED INTERNET-WF,0,var_182,,,,,,ER42131,ER47438,ER53138,,,,,
A47C WTR USED INTERNET ELSEWHERE-HD,0,var_183,,,,,,,ER47436,ER53136,,,,,
A47C WTR USED INTERNET ELSEWHERE-WF,0,var_184,,,,,,,ER47439,ER53139,,,,,
A49 MONTH MOVED,0,var_185,,,,,,ER42133,ER47441,ER53141,ER60156,ER66157,ER72157,ER78159,ER82142
A49 WTR MOVED SINCE JAN 1 OF PRIOR YEAR,0,var_186,,,,,,ER42132,ER47440,ER53140,ER60155,ER66156,ER72156,ER78158,ER82141
A49 YEAR MOVED,0,var_187,,,,,,ER42134,ER47442,ER53142,ER60157,ER66158,ER72158,ER78160,ER82143
A50 WHY MOVED 1ST MENTION,0,var_188,,,,,,ER42135,ER47443,ER53143,ER60158,ER66159,ER72159,ER78161,ER82144
A50 WHY MOVED 2ND MENTION,0,var_189,,,,,,ER42136,ER47444,ER53144,ER60159,ER66160,ER72160,ER78162,ER82145
A50 WHY MOVED 3RD MENTION,0,var_190,,,,,,ER42137,ER47445,ER53145,ER60160,ER66161,ER72161,ER78163,ER82146
A51 WTR MIGHT MOVE,0,var_191,,,,,,ER42138,ER47446,ER53146,ER60161,ER66162,ER72162,ER78164,ER82147
A52 LIKELIHOOD OF MOVING,0,var_192,,,,,,ER42139,ER47447,ER53147,ER60162,ER66163,ER72163,ER78165,ER82148
A57A WTR COMPUTER DEVICE IN HOME-HD,0,var_193,,,,,,,,,ER60131,,,,
A57A WTR COMPUTER DEVICE IN HOME-RP,0,var_194,,,,,,,,,,ER66132,ER72132,ER78134,ER82135
A57A WTR COMPUTER DEVICE IN HOME-SP,0,var_195,,,,,,,,,ER60143,ER66144,ER72144,ER78146,ER82138
A57B HOW OFTEN NET VIA CMPTR PAST MTH-HD,0,var_196,,,,,,,,,ER60132,,,,
A57B HOW OFTEN NET VIA CMPTR PAST MTH-RP,0,var_197,,,,,,,,,,ER66133,ER72133,ER78135,
A57B HOW OFTEN NET VIA CMPTR PAST MTH-SP,0,var_198,,,,,,,,,ER60144,ER66145,ER72145,ER78147,
A57C WTR NET VIA COMPUTER PAST YEAR-HD,0,var_199,,,,,,,,,ER60133,,,,
A57C WTR NET VIA COMPUTER PAST YEAR-RP,0,var_200,,,,,,,,,,ER66134,ER72134,ER78136,
A57C WTR NET VIA COMPUTER PAST YEAR-SP,0,var_201,,,,,,,,,ER60145,ER66146,ER72146,ER78148,
A57D WTR NET VIA CMPTR OUTSIDE HOME-HD,0,var_202,,,,,,,,,ER60134,,,,
A57D WTR NET VIA CMPTR OUTSIDE HOME-RP,0,var_203,,,,,,,,,,ER66135,ER72135,ER78137,
A57D WTR NET VIA CMPTR OUTSIDE HOME-SP,0,var_204,,,,,,,,,ER60146,ER66147,ER72147,ER78149,
A57E WTR SMART PHONE-HD,0,var_205,,,,,,,,,ER60135,,,,
A57E WTR SMART PHONE-RP,0,var_206,,,,,,,,,,ER66136,ER72136,ER78138,ER82136
A57E WTR SMART PHONE-SP,0,var_207,,,,,,,,,ER60147,ER66148,ER72148,ER78150,ER82139
A57F HOW OFTEN TEXTED PAST MTH-HD,0,var_208,,,,,,,,,ER60136,,,,
A57F HOW OFTEN TEXTED PAST MTH-RP,0,var_209,,,,,,,,,,ER66137,ER72137,ER78139,
A57F HOW OFTEN TEXTED PAST MTH-SP,0,var_210,,,,,,,,,ER60148,ER66149,ER72149,ER78151,
A57G NET VIA SMART PHONE PAST MTH-HD,0,var_211,,,,,,,,,ER60137,,,,
A57G NET VIA SMART PHONE PAST MTH-RP,0,var_212,,,,,,,,,,ER66138,ER72138,ER78140,
A57G NET VIA SMART PHONE PAST MTH-SP,0,var_213,,,,,,,,,ER60149,ER66150,ER72150,ER78152,
A57H NET VIA SMART PHONE PAST YEAR-HD,0,var_214,,,,,,,,,ER60138,,,,
A57H NET VIA SMART PHONE PAST YEAR-RP,0,var_215,,,,,,,,,,ER66139,ER72139,ER78141,
A57H NET VIA SMART PHONE PAST YEAR-SP,0,var_216,,,,,,,,,ER60150,ER66151,ER72151,ER78153,
A57J WTR HAVE CELL PHONE-HD,0,var_217,,,,,,,,,ER60139,,,,
A57J WTR HAVE CELL PHONE-RP,0,var_218,,,,,,,,,,ER66140,ER72140,ER78142,ER82137
A57J WTR HAVE CELL PHONE-SP,0,var_219,,,,,,,,,ER60151,ER66152,ER72152,ER78154,ER82140
A57K HOW OFTEN TEXTED PAST MTH-HD,0,var_220,,,,,,,,,ER60140,,,,
A57K HOW OFTEN TEXTED PAST MTH-RP,0,var_221,,,,,,,,,,ER66141,ER72141,ER78143,
A57K HOW OFTEN TEXTED PAST MTH-SP,0,var_222,,,,,,,,,ER60152,ER66153,ER72153,ER78155,
A57L HOW OFTEN EMAIL PAST MTH-HD,0,var_223,,,,,,,,,ER60141,,,,
A57L HOW OFTEN EMAIL PAST MTH-RP,0,var_224,,,,,,,,,,ER66142,ER72142,ER78144,
A57L HOW OFTEN EMAIL PAST MTH-SP,0,var_225,,,,,,,,,ER60153,ER66154,ER72154,ER78156,
A57M WTR USED EMAIL PAST YEAR-HD,0,var_226,,,,,,,,,ER60142,,,,
A57M WTR USED EMAIL PAST YEAR-RP,0,var_227,,,,,,,,,,ER66143,ER72143,ER78145,
A57M WTR USED EMAIL PAST YEAR-SP,0,var_228,,,,,,,,,ER60154,ER66155,ER72155,ER78157,
A6 LIVE IN ELDERLY HSNG,0,var_229,,,,,,ER42026,,,,,,,
A6A WTR SENIOR HOUSING,0,var_230,,,,,,,ER47326,ER53026,ER60027,ER66027,ER72027,ER78028,ER82029
A7 TYPE ELDERLY HSNG,0,var_231,,,,,,ER42027,,,,,,,
A7A WTR SENIOR SERVICES,0,var_232,,,,,,,ER47327,ER53027,ER60028,ER66028,ER72028,ER78029,ER82030
A8 ACTUAL # ROOMS,0,var_233,,,,,,ER42028,ER47328,ER53028,ER60029,ER66029,ER72029,ER78030,ER82031
ACC ADDITIONAL VEHICLE EXPENDITURE,0,var_234,,,,,,ER46971C3A,ER52395C3A,ER58212C3A,ER65430A,ER71508A,ER77549,ER81876,ER85730
ACC AUTO INSURANCE EXPENDITURE,0,var_235,,,,,,ER46971C2A,ER52395C2A,ER58212C2A,ER65429A,ER71507A,ER77547,ER81874,ER85728
ACC BONUS INCOME OF HEAD,0,var_236,,,,,,ER46814,ER52222,ER58023,ER65203,,,,
